condition_id,completion_time_s,inlet_velocity_m_s,inlet_temperature_K,cooling_wall_temperature_K,solid_heat_source_MW_m3,pressure_drop_Pa,outlet_temperature_K,outlet_minus_inlet_temperature_K,solid_maximum_temperature_K,solid_maximum_minus_cooling_wall_K,generated_power_W,net_outward_enthalpy_flow_W,net_outward_enthalpy_over_generated,external_fluid_conductive_heat_W,external_solid_conductive_heat_W,total_external_boundary_heat_W,total_external_boundary_heat_over_generated,reconstructed_energy_difference_W,boundary_heat_fallback_used,cooling_wall_heat_into_fluid_W,cooling_wall_heat_over_generated,cooling_wall_heat_direction,relative_mass_difference,relative_energy_difference
u0p05_T900_q6p85,200,0.05,900.0,635.0,6.85,6.590100000001257,743.1316031,-156.8683969,891.1570535,256.15705349999996,0.24395453,-0.0428569166,-0.17567583844415596,1.409307855218388,-1.696191355,-0.2868834997816121,-1.1759711934089196,-7.205318161208896e-05,False,-0.2734953295,-1.1210914160929908,fluid_to_wall,3.003209139888352e-09,5.1126644434130745e-05
u0p05_T900_q8p85,200,0.05,900.0,635.0,8.85,6.632100000002538,747.6833279,-152.3166721,891.8286886,256.82868859999996,0.31518213,-0.0416011765,-0.13199091109638736,1.3727847782830107,-1.729638205,-0.3568534267169894,-1.1322133863267863,-7.012021698937776e-05,False,-0.2777291448,-0.8811703404631475,fluid_to_wall,8.821923499269417e-09,5.107881300748034e-05
u0p10_T300_q4p85,200,0.1,300.0,635.0,4.85,17.115600000004633,532.8947294,232.89472939999996,634.9241405,-0.07585949999997865,0.17272693,0.369284507108,2.1379671780654004,-1.3878606728029999,1.584425821,0.1965651481970001,1.138011010772901,7.571089000124598e-06,False,0.2451721039,1.4194202600602002,wall_to_fluid,3.4408751741182047e-09,5.455222666472075e-06
u0p10_T300_q6p85,200,0.1,300.0,635.0,6.85,17.345799999995506,537.7589442,237.75894419999997,634.9278049,-0.07219510000004448,0.24395453,0.378501717307,1.5515256769652934,-1.4176955024289999,1.552250785,0.13455528257100013,0.5515588604605954,8.095264000140823e-06,False,0.2411759126,0.9886101012348489,wall_to_fluid,3.753674879836266e-09,5.710157072629369e-06
u0p10_T300_q8p85,200,0.1,300.0,635.0,8.85,17.57640000000538,542.6106188,242.6106188,634.9314739,-0.06852609999998549,0.31518213,0.38765800499999997,1.229949188426387,-1.4475712285239999,1.520055681,0.07248445247600022,0.22997640277385084,8.57747600024883e-06,False,0.2371761382,0.7525050300281935,wall_to_fluid,1.876833925058132e-09,5.925425865875524e-06
u0p10_T500_q4p85,200,0.1,500.0,635.0,4.85,14.148499999995693,600.5064749,100.50647489999994,634.9735942,-0.026405800000020463,0.17272693,0.0977689608,0.5660319488107616,-0.7181679707838825,0.643222244,-0.07494572678388245,-0.43389717390265925,1.2242416117552724e-05,False,0.1045617287,0.6053585778430729,wall_to_fluid,2.6067881464508696e-09,1.70467308701258e-05
u0p10_T500_q6p85,200,0.1,500.0,635.0,6.85,14.291400000001886,605.2847381,105.28473810000003,634.9773573,-0.02264270000000579,0.24395453,0.1028936187,0.4217737571833571,-0.7513341213418111,0.6102866506,-0.14104747074181112,-0.5781711482947708,1.3440558188887453e-05,False,0.1004451528,0.41173719053300634,wall_to_fluid,2.606785042341237e-09,1.788892292670523e-05
u0p10_T500_q8p85,200,0.1,500.0,635.0,8.85,14.434399999998277,610.0514413,110.05144129999996,634.9811234,-0.01887659999999869,0.31518213,0.1079914145,0.3426317808690486,-0.7845192201804804,0.5773431981,-0.20717602208048036,-0.6573216003092572,1.4693419519651307e-05,False,0.09632657225,0.3056219343717234,wall_to_fluid,2.606781935520872e-09,1.872920272911995e-05
u0p10_T700_q4p85,200,0.1,700.0,635.0,4.85,13.294999999998254,668.9181469,-31.08185309999999,698.9581602,63.95816019999995,0.17272693,-0.02112253900000005,-0.12228862633059044,0.2577236464435678,-0.4515794292,-0.19385578275643217,-1.1223251797298324,-6.3137564321191775e-06,False,-0.07002625544,-0.40541596750431447,fluid_to_wall,3.64952934657883e-09,2.4498165066516945e-05
u0p10_T700_q6p85,200,0.1,700.0,635.0,6.85,13.399300000004587,673.5576595,-26.4423405,699.9386666,64.93866660000003,0.24395453,-0.01771604410000005,-0.07262027108084465,0.2229921615364593,-0.4846676252,-0.2616754636635407,-1.0726403140107328,-4.889563540666497e-06,False,-0.07418670297,-0.30410053451354235,fluid_to_wall,2.919620979956265e-09,2.0042929888067655e-05
u0p10_T700_q8p85,200,0.1,700.0,635.0,8.85,13.503700000001118,678.1874005,-21.812599500000033,702.2700159,67.27001589999998,0.31518213,-0.014323802499999982,-0.045446112379531105,0.18825006860455462,-0.5177594191,-0.3295093504954454,-1.045456956888531,-3.4179954453983363e-06,False,-0.07834858611,-0.24858194247878201,fluid_to_wall,3.6495229987237763e-09,1.0844508999741911e-05
