architecture,split,epochs,training_epochs,best_epoch,train_case_count,validation_case_count,test_state_normalized_rmse,test_fluid_temperature_normalized_rmse,test_solid_temperature_normalized_rmse,test_continuity_normalized_rmse,test_energy_balance_normalized_rmse,test_case_count,test_pressure_drop_mae_Pa,test_pressure_drop_p95_Pa,test_pressure_drop_max_Pa,test_outlet_temperature_mae_K,test_outlet_temperature_p95_K,test_outlet_temperature_max_K,test_solid_maximum_temperature_mae_K,test_solid_maximum_temperature_p95_K,test_solid_maximum_temperature_max_K,test_cooling_wall_heat_mae_W,test_cooling_wall_heat_p95_W,test_cooling_wall_heat_max_W,test_cooling_wall_heat_over_generated_mean_percent,test_cooling_wall_heat_over_generated_p95_percent,test_cooling_wall_heat_over_generated_max_percent,test_interphase_net_heat_mae_W,test_interphase_net_heat_p95_W,test_interphase_net_heat_max_W,test_interphase_net_heat_over_generated_mean_percent,test_interphase_net_heat_over_generated_p95_percent,test_interphase_net_heat_over_generated_max_percent,test_interphase_absolute_heat_mae_W,test_interphase_absolute_heat_p95_W,test_interphase_absolute_heat_max_W,test_local_mass_l1_over_two_inlet_mean,test_global_mass_imbalance_over_inlet_mean,test_local_energy_l1_over_two_generated_power_mean,test_global_energy_imbalance_over_generated_power_mean,training_wall_time_s,optimization_wall_time_s,optimization_s_per_update,validation_wall_time_s,final_evaluation_wall_time_s,model_parameter_count,effective_batch_size,microbatch_size,gradient_accumulation,peak_gpu_memory_GB,total_parameter_updates,training_seed,device,torch_threads,test_inference_s_per_case
response_surface,velocity_extrapolation,100,0,0,36,12,0.06413882318346618,0.030129800294452773,0.029445596591596734,3.0305165692155323e-09,3.338349353854615e-07,12,0.5797634841304292,1.0831768790048955,1.1078206582606072,3.2244568059677428,4.622573863191013,4.632071088036469,0.8791847694923453,2.2664723895382624,2.287937833778983,0.003206966031810169,0.003728471170044062,0.003803971059517075,1.3903432948170786,2.012110297288321,2.2023045272285464,0.023478119323144336,0.02782968746551977,0.027999626659522048,10.17661955832552,15.931514823131085,16.021158800179325,0.03253359094047733,0.0520697651520269,0.05297599784719864,1.4833211570502439e-08,6.265343599742879e-09,3.269167832688695e-05,6.53833566537739e-05,11.19267463684082,,,,,4164870,,,,,,,,,0.0008572586715066185
pinn_data_only,velocity_extrapolation,100,100,83,36,12,0.9417446006043898,0.2770799084419174,0.2526457136932368,0.22502020990113822,0.39961568218100896,12,14.192758001344677,18.756531904725126,18.90209905721713,11.69393280733108,17.859795681351493,18.380872026389852,40.24142998971849,77.00528770238293,79.74395956718752,0.03515234918913691,0.105654630907986,0.1069302584804313,15.40302197613854,51.44295671654204,61.90714615454227,3.22574351148641,9.739216824542517,10.025683302323037,1418.0332414520583,4754.844608065579,5804.357441160117,3.954861343130098,7.759750887728587,8.055864260482913,2.613156166064101,1.25249200396017,37.912604729048795,1.9513182719738964,52.68975519994274,45.225594331044704,0.012562665091956863,6.274827321525663,5.591063339961693,36759,1,1,False,0.508732928,3600,20260717,cuda,4,0.004679679084802046
pinn,velocity_extrapolation,100,100,98,36,12,0.9777265805079641,0.19992490913930502,0.15868006731316092,0.18630452593754646,0.1504304771159213,12,15.000699735423646,19.021876277876437,19.272752479359042,14.894298969657394,26.5151362693644,28.59434326080236,26.93893466908047,35.119197571061505,35.49320593670336,0.10163649951358343,0.2408775115774032,0.2445100712893682,43.42632272937467,113.88566079147674,133.8875935479251,0.8064811965587796,1.9728429690055924,2.0582996550740145,348.4560995697489,882.9491165040687,1008.7359853738808,0.5172526270778325,0.95311740555561,1.0246979704143744,1.9409525620575074,0.23570029388305733,18.134466398799347,4.420304721467615,53.87720356497448,46.414090002770536,0.01289280277854737,6.294154904666357,5.746020895894617,36759,1,1,False,0.507783168,3600,20260717,cuda,4,0.0051416626665741205
graph,velocity_extrapolation,100,100,99,36,12,0.8139100203214893,0.22918658378841253,0.2566762873334143,0.12146804712593025,0.11756395068387115,12,8.957293506750526,13.643804276947048,14.130595536582405,10.425782440293114,25.14816678829151,27.202635095793255,20.124294152674235,47.249431189115775,48.53586951092211,0.2099695922309983,0.2732583944935307,0.27852518999486214,89.70793414428239,122.29649516521289,130.9802958802025,0.5624516088742606,1.1407427378797739,1.1457729768263825,246.3492254958376,503.7326399968172,549.9507335752864,2.161659075866083,4.452195508382314,4.476886963151715,2.0308538752528515,0.6679962532394793,17.31838957175454,5.058405005764663,1240.0242590400157,1074.5952739741188,0.596997374430066,139.73284652002621,18.857912063016556,1445257,2,1,True,10.111941632,1800,20260717,cuda,4,0.11574938275346842
transolver,velocity_extrapolation,100,100,100,36,12,0.7296924188809564,0.12175996254785482,0.1361559290700487,0.5440630005965122,0.1425969286505206,12,7.669276927015744,10.35465669343539,10.62565148511203,3.336754343323259,8.694764592909493,8.899058479845905,10.83662020247892,17.45747167515629,17.56356574531253,0.06774661177329967,0.14136500116431744,0.17408688449086274,28.449074626553536,50.562193353949894,55.233770155825866,1.0978686811933,2.196336146542586,2.372763445746392,466.9209200743906,902.1749354465426,976.7789761012308,0.5234283749649804,1.241061152542362,1.295498160174557,4.587970803957965,2.8594731913740135,19.11298244985329,2.6545624970046493,828.4869488889817,700.9974272287218,1.4019948544574437,86.04483677551616,13.587202779017389,2611409,8,1,True,4.352841216,500,20260717,cuda,4,0.07179044142443065
response_surface,heat_source_interpolation,100,0,0,32,8,0.19183792925617163,0.03878938810116108,0.03833234919211172,5.624443512948409e-10,0.004402431670043379,20,8.613229229342688,9.073616675107042,9.190110303636175,4.610521616942952,7.70141491109739,7.916486306041747,7.571551072492656,13.373016061655278,13.856707058687448,0.008657207447635635,0.010999564969772275,0.011647752300486078,3.5486989570882868,4.508860966167134,4.774561160879476,0.1640189611004863,0.18023714204686825,0.181893532799429,67.23344909090339,73.88148682806228,74.56046237204654,0.37299640261369793,0.42400760218734246,0.43094561398774056,9.288585174944553e-09,2.900080721165683e-09,0.2500006558729807,0.499948684484351,11.077278852462769,,,,,4164870,,,,,,,,,0.001485996349947527
pinn_data_only,heat_source_interpolation,100,100,100,32,8,0.477897782354815,0.497821924329079,0.33033896146913116,0.13833622265246184,0.25018696577565147,20,6.401713511603885,14.398423882049247,14.915999511897098,31.771729408688564,51.1173380332927,62.36528005761397,76.89213459821728,115.75252396123642,115.84157207410169,0.10359289393243784,0.16691846192437085,0.18609603771561306,42.46403899680148,68.42199119435105,76.2831223525803,1.278742972296873,3.1646457833451267,4.100855586928147,524.1729367838154,1297.2283798025214,1680.992633308801,1.6014079948154663,2.9325222005117926,3.033983696753481,3.768033882387351,0.20396257809591883,28.89074631595225,8.338759389680614,45.465656367945485,40.15457589412108,0.012548304966912838,4.172833853168413,6.0191865670494735,36759,1,1,False,0.508732928,3200,20260717,cuda,4,0.0049293972493615005
pinn,heat_source_interpolation,100,100,94,32,8,0.3751163259662559,0.1854832238917981,0.16895261165206382,0.09836172218991686,0.15683841671985488,20,1.9628346169185533,4.745997530611203,4.823362641240237,10.309910493371422,22.920428077536144,28.9900986560599,51.97188724735793,88.2880243099972,110.27230550072568,0.11163250966298074,0.24610438363403583,0.25462506414352165,45.75957928862619,100.8813032169489,104.37403805327916,0.6377470137114628,1.2891206705347833,1.700260371847134,261.4205765696571,528.4268867020314,696.9582564410341,1.3340568200661038,3.8419529554059095,4.172545524335918,3.4536973729315505,0.5174474821800902,12.828980676825328,0.850946324290519,47.53117274097167,42.029016099870205,0.013134067531209439,4.2438270553248,5.64753065793775,36759,1,1,False,0.507783168,3200,20260717,cuda,4,0.004741011851001531
graph,heat_source_interpolation,100,100,100,32,8,0.3073282852863335,0.07183453802795152,0.07650480362855565,0.07887934410285445,0.07970673624584725,20,1.0733502697010409,2.708814524757327,3.4072496028529713,4.365531212372519,9.054930296249927,9.595138654123502,14.528625387764652,42.256903386833486,42.90176106713193,0.09730772267110495,0.1915754450015504,0.1991821863295547,39.88766770904806,78.52920078360813,81.64730037643947,0.6465586864132897,1.16667294612044,1.3918292260008245,265.03259279039776,478.2340139361503,570.5284241632745,0.7161438688957901,1.4301715857994532,1.6180905809398987,3.743514972073638,0.5300006691439564,13.291189038937395,1.1147636761578028,1077.6179309459403,958.4043426101562,0.5990027141313476,93.2330239948351,18.921780964010395,1445257,2,1,True,10.111941632,1600,20260717,cuda,4,0.11635517980321311
transolver,heat_source_interpolation,100,100,100,32,8,0.32503314375555215,0.06596231249061468,0.0784723457374731,0.08148324813925088,0.08902180734888844,20,0.5438597893356928,1.4095659087171957,1.9553822065790882,3.1988473962587305,7.324696638498478,8.425551386356801,4.309830061524115,10.175590308828163,11.114617783593758,0.07159387265688566,0.15567349709368494,0.20989028040546565,29.34723497942623,63.81253771775128,86.03668373238142,0.6523302781883021,1.3212236020291637,1.430302450559927,267.39844134336494,541.5862848338965,586.2990860879809,0.8374664717249681,1.6129763001947384,2.773751917201925,3.1948019542267025,0.6036157930847481,11.313940527047942,1.1270891359996273,721.4047267020214,623.5105451376876,1.558776362844219,57.30846066772938,13.584973494987935,2611409,8,1,True,4.352841216,400,20260717,cuda,4,0.07155117735383101
response_surface,heat_source_extrapolation,100,0,0,20,20,0.04532180054509538,0.06332009686046892,0.06546130883104717,7.185906313731015e-10,0.005113826042758857,20,0.45115102947238483,1.1261454763720395,1.22852328652516,9.138461559896069,12.13708243713998,12.482256615276128,1.2158007249396348,3.8147286175501507,4.003642449586891,0.008040159086844323,0.01029091122402536,0.011155897666385056,2.5509578180907875,3.2650697776813806,3.539510109501487,0.07825573818947566,0.09736564546682616,0.10098990950739828,24.828748410158667,30.891883087669203,32.04177882844508,0.04000084564465991,0.1038624759549323,0.1087777382470736,1.1799920254088347e-08,3.618017876412901e-09,0.22599085182088716,0.45194356889325826,10.495745182037354,,,,,4164870,,,,,,,,,0.0006823125528171659
pinn_data_only,heat_source_extrapolation,100,100,96,20,20,0.39840842955899664,0.16189330616200032,0.16812171101716192,0.13437087969058548,0.27231940902450735,20,4.888455555814289,9.45200192171615,14.65026804729132,11.848217772929313,22.60446574938002,23.80071861147087,52.863658677560444,150.95665782210943,186.59939021484377,0.0469285465695231,0.10051988102321517,0.10543072052561298,14.889350007892512,31.89264958566503,33.45074617140654,0.897706997529052,1.911551386920665,1.955551064311862,284.8218124749007,606.4913520338624,620.4514391194775,1.5337673322009242,3.213649350146029,3.7914152959806735,4.340894453486951,0.2337451188273628,20.036671290845955,3.003703342471277,365.4237522549229,265.85541375970934,0.13292770687985467,98.31464697525371,10.623055757023394,36759,1,1,False,,2000,20260717,cpu,8,0.04516906079952605
pinn,heat_source_extrapolation,100,100,92,20,20,0.37897686510502426,0.1644581228197631,0.15948493579854606,0.13375698846947348,0.17039754715866484,20,3.3769321692619996,6.625378951407767,9.287297325237887,8.832373363572737,17.12901397487678,20.060040384500894,50.57643317841932,152.874029550625,192.31267298750004,0.04514644168828218,0.10876180086242782,0.11450427578926792,14.32392905908345,34.50762145659713,36.329576862153985,0.9943324734556397,1.6365320695744026,1.825310015622612,315.47885676709456,519.2340390711912,579.1289456462065,1.5779792576292537,3.185807742904745,3.4178135887256964,4.728776457732087,0.38167178379994815,11.836192312222002,2.9561007533518686,362.15469602902886,265.55467601690907,0.13277733800845454,95.38449845835567,11.144342825980857,36759,1,1,False,,2000,20260717,cpu,8,0.04342282189754769
graph,heat_source_extrapolation,100,100,100,20,20,0.3279276487701345,0.0977955925266637,0.10788352394636162,0.07423210008272967,0.06595370357993804,20,1.1576949248650634,2.7715874938585343,4.566826269918238,11.813326468836925,23.549049211494378,24.327035775783656,11.590914703362438,32.96390154906254,36.382288164062516,0.10529080581896026,0.2038991181556722,0.20490097274560604,33.40635444843856,64.6925071933095,65.01037264487297,0.7870975210121831,1.3577509002739983,1.4199968349262826,249.72796596913696,430.7831768827814,450.5323823313934,1.312485236461469,2.3913663286138678,2.53896139474456,3.9676767594187536,0.26834806840646735,8.344540091848732,0.787781477927141,25190.633032654994,17505.601378635387,17.505601378635387,7660.789680158021,493.0163693020586,1445257,2,2,False,,1000,20260717,cpu,8,3.975242207449628
transolver,heat_source_extrapolation,100,100,100,20,20,0.3375239426264065,0.10362193722215261,0.12114512244162802,0.08130313922819206,0.08651435100999617,20,0.7463817465984903,2.535716612426768,2.7215385664312635,10.359392905870028,19.890149694687718,20.498028021651862,9.08906527379666,22.051426682226527,23.83967636015609,0.09847018759552123,0.19276182011367013,0.2005249214743288,31.242328936833523,61.15889831744293,63.62195208226291,0.7019126163119138,1.3902899970294222,1.5107022194682962,222.70075216884888,441.10708495043144,479.3111175953492,1.1109041906615038,3.129752009234556,3.5554929238803266,3.449167595527272,0.20444959062132645,9.653676393204291,1.0521618317146113,9604.974448279012,6863.0616293759085,22.876872097919694,2704.050617640838,165.1692855450092,2611409,8,8,False,,300,20260717,cpu,8,1.2981415301503147
